Size,Time(microseconds)
500,68
600,91
700,108
800,128
900,151
1000,179
1100,208
1200,233
1300,252
1400,275
1500,299
1600,318
1700,367
1800,378
1900,399
2000,424
2100,465
2200,489
2300,505
2400,568
2500,557
2600,577
2700,600
2800,645
2900,690
3000,691
3100,715
3200,741
3300,787
3400,788
3500,812
3600,818
3700,855
3800,873
3900,907
4000,970
4100,1023
4200,1049
4300,1084
4400,1089
4500,1124
4600,1164
4700,1165
4800,1186
4900,1217
5000,1245
5100,1281
5200,1301
5300,1331
5400,1375
5500,1365
5600,1393
5700,1373
5800,1445
5900,1453
6000,1486
6100,1514
6200,1535
6300,1557
6400,1587
6500,1597
6600,1649
6700,1662
6800,1697
6900,1701
7000,1762
7100,1774
7200,1803
7300,1850
7400,1864
7500,1893
7600,1917
7700,1958
7800,2016
7900,2064
8000,2128
8100,2173
8200,2230
8300,2259
8400,2286
8500,2317
8600,2345
8700,2357
8800,2398
8900,2351
9000,2463
9100,2481
9200,2507
9300,2534
9400,2570
9500,2610
9600,2618
9700,2566
9800,2641
9900,2686
10000,2738
10100,2790
10200,2784
10300,2822
10400,2844
10500,2854
10600,2870
10700,2963
10800,2957
10900,2986
11000,3017
11100,2999
11200,3072
11300,3104
11400,3140
11500,3111
11600,3133
11700,3264
11800,3229
11900,3275
12000,3304
12100,3331
12200,3347
12300,3372
12400,3372
12500,3389
12600,3426
12700,3458
12800,3556
12900,3541
13000,3540
13100,3617
13200,3639
13300,3672
13400,3691
13500,3713
13600,3752
13700,3786
13800,3750
13900,3797
14000,3902
14100,3900
14200,3936
14300,3954
14400,3995
14500,4012
14600,3998
14700,4106
14800,4111
14900,4119
15000,4192
15100,4170
15200,4200
15300,4240
15400,4282
15500,4341
15600,4375
15700,4507
15800,4519
15900,4601
16000,4588
16100,4625
16200,4699
16300,4857
16400,4797
16500,4897
16600,4926
16700,4971
16800,4999
16900,5013
17000,5077
17100,5074
17200,5108
17300,5151
17400,5153
17500,5208
17600,5118
17700,5257
17800,5274
17900,5313
18000,5323
18100,5364
18200,5618
18300,5431
18400,5423
18500,5487
18600,5495
18700,5520
18800,5633
18900,5542
19000,5502
19100,5555
19200,5587
19300,5808
19400,5737
19500,5702
19600,5698
19700,5895
19800,5836
19900,5778
20000,5848
20100,7632
20200,6093
20300,5944
20400,6027
20500,6059
20600,6106
20700,6129
20800,6163
20900,6184
21000,7631
21100,6309
21200,6295
21300,6216
21400,6401
21500,6348
21600,6403
21700,6404
21800,6465
21900,6489
22000,6529
22100,6578
22200,6596
22300,6604
22400,6627
22500,6717
22600,6599
22700,6833
22800,8154
22900,8665
23000,6810
23100,6851
23200,8876
23300,7089
23400,6934
23500,6948
23600,7044
23700,7035
23800,7107
23900,7095
24000,7114
24100,7136
24200,7167
24300,7223
24400,7219
24500,7275
24600,7290
24700,7348
24800,7401
24900,7391
25000,7402
25100,7459
25200,7548
25300,7527
25400,7549
25500,7447
25600,7520
25700,7549
25800,7706
25900,7709
26000,7728
26100,7785
26200,7835
26300,7809
26400,7850
26500,7851
26600,8091
26700,7988
26800,7855
26900,8063
27000,8036
27100,8080
27200,8091
27300,8133
27400,8156
27500,8178
27600,8229
27700,8240
27800,8313
27900,8375
28000,8337
28100,8400
28200,8467
28300,8259
28400,8446
28500,8514
28600,8410
28700,8603
28800,8628
28900,8640
29000,8686
29100,8732
29200,8758
29300,8807
29400,8833
29500,8878
29600,8841
29700,8941
29800,8931
29900,8933
30000,9023
30100,9029
30200,8991
30300,9087
30400,9098
30500,9051
30600,9041
30700,9169
30800,9201
30900,9301
31000,9373
31100,9450
31200,9528
31300,9452
31400,9568
31500,9700
31600,9785
31700,9754
31800,9823
31900,9933
32000,9990
32100,10042
32200,10079
32300,10086
32400,10226
32500,10262
32600,10332
32700,10377
32800,10425
32900,10463
33000,10529
33100,10536
33200,10602
33300,10692
33400,10618
33500,10656
33600,10669
33700,10729
33800,10748
33900,10802
34000,10812
34100,10691
34200,10684
34300,10759
34400,10762
34500,10894
34600,11011
34700,11183
34800,11083
34900,11101
35000,11134
35100,11192
35200,11205
35300,11234
35400,11260
35500,11377
35600,11463
35700,11402
35800,11391
35900,11476
36000,11420
36100,11466
36200,11603
36300,11618
36400,11676
36500,11595
36600,11808
36700,11882
36800,11623
36900,11670
37000,11798
37100,11664
37200,11413
37300,11631
37400,11439
37500,13396
37600,11405
37700,11515
37800,11440
37900,11630
38000,11604
38100,11566
38200,11654
38300,11691
38400,11703
38500,11758
38600,11754
38700,11772
38800,11726
38900,11853
39000,11966
39100,11905
39200,12149
39300,12197
39400,12225
39500,12251
39600,12314
39700,12348
39800,12283
39900,12383
40000,12379
40100,12273
40200,12421
40300,12475
40400,12567
40500,12538
40600,12572
40700,12535
40800,12636
40900,12725
41000,12719
41100,12749
41200,12808
41300,12795
41400,12724
41500,12803
41600,13076
41700,13077
41800,13185
41900,12956
42000,13191
42100,13049
42200,13056
42300,13169
42400,13315
42500,13336
42600,13437
42700,13430
42800,13490
42900,13461
43000,13178
43100,13171
43200,13452
43300,13571
43400,13660
43500,13656
43600,13646
43700,13484
