Size,Time(microseconds)
500,53
600,104
700,119
800,140
900,182
1000,133
1100,163
1200,245
1300,288
1400,306
1500,282
1600,266
1700,329
1800,370
1900,414
2000,377
2100,413
2200,481
2300,539
2400,588
2500,618
2600,574
2700,713
2800,464
2900,470
3000,563
3100,539
3200,562
3300,665
3400,744
3500,639
3600,696
3700,754
3800,705
3900,621
4000,662
4100,607
4200,664
4300,657
4400,682
4500,793
4600,739
4700,801
4800,812
4900,1062
5000,1055
5100,1042
5200,1233
5300,1074
5400,1075
5500,1243
5600,1013
5700,1119
5800,1070
5900,1135
6000,1513
6100,1300
6200,1240
6300,1831
6400,1240
6500,1094
6600,1118
6700,1388
6800,1364
6900,1390
7000,1226
7100,1244
7200,1260
7300,1289
7400,1439
7500,1513
7600,1385
7700,1388
7800,1452
7900,1719
8000,1684
8100,2146
8200,1570
8300,1756
8400,1584
8500,2332
8600,1462
8700,1473
8800,1482
8900,1517
9000,1508
9100,1650
9200,1825
9300,2086
9400,1623
9500,1638
9600,2167
9700,2212
9800,2242
9900,1686
10000,1710
10100,2481
10200,2238
10300,2468
10400,1797
10500,2292
10600,1878
10700,1877
10800,1944
10900,2093
11000,1929
11100,2444
11200,2882
11300,2308
11400,2922
11500,2493
11600,2068
11700,2076
11800,2103
11900,2117
12000,2162
12100,2175
12200,2169
12300,2189
12400,2230
12500,2247
12600,2282
12700,2305
12800,3186
12900,2728
13000,2485
13100,2440
13200,2545
13300,3187
13400,3123
13500,3434
13600,2604
13700,2630
13800,2645
13900,2955
14000,2841
14100,2909
14200,4269
14300,4642
14400,4277
14500,4415
14600,3789
14700,3889
14800,4896
14900,4680
15000,4728
15100,3967
15200,3474
15300,4539
15400,4285
15500,4490
15600,2931
15700,3980
15800,3765
15900,4927
16000,3883
16100,3761
16200,4370
16300,4618
16400,4660
16500,3459
16600,2964
16700,3332
16800,4380
16900,3648
17000,4793
17100,4069
17200,4759
17300,4326
17400,4633
17500,5415
17600,4719
17700,4519
17800,4585
17900,5468
18000,4602
18100,4623
18200,5680
18300,5281
18400,5781
18500,4317
18600,4373
18700,4641
18800,4258
18900,5127
19000,5321
19100,5045
19200,5222
19300,5641
19400,4387
19500,5115
19600,5115
19700,5054
19800,6502
19900,5543
20000,3739
20100,3724
20200,3691
20300,3720
20400,3746
20500,4047
20600,3747
20700,3897
20800,3955
20900,3939
21000,3911
21100,4021
21200,4007
21300,4017
21400,4066
21500,4077
21600,4113
21700,4126
21800,4170
21900,4177
22000,4205
22100,4231
22200,4286
22300,4277
22400,4304
22500,4262
22600,4891
22700,4891
22800,4332
22900,4367
23000,4419
23100,4507
23200,4525
23300,4542
23400,4554
23500,4624
23600,4622
23700,4664
23800,4677
23900,4663
24000,4631
24100,4697
24200,4989
24300,8440
24400,5397
24500,4853
24600,4895
24700,4892
24800,4932
24900,4963
25000,5033
25100,4996
25200,5058
25300,5016
25400,5119
25500,5103
25600,5135
25700,5150
25800,5183
25900,5218
26000,5146
26100,5343
26200,5198
26300,5220
26400,5420
26500,5394
26600,5408
26700,5423
26800,5454
26900,5502
27000,5474
27100,5537
27200,5573
27300,5599
27400,5674
27500,5642
27600,5659
27700,5693
27800,5739
27900,5816
28000,5690
28100,5794
28200,5863
28300,5883
28400,5947
28500,5925
28600,5942
28700,6009
28800,5920
28900,5948
29000,5950
29100,6161
29200,6101
29300,6201
29400,6091
29500,6272
29600,6215
29700,6205
29800,6385
29900,6343
30000,6409
30100,6554
30200,6536
30300,6317
30400,6458
30500,7304
30600,6545
30700,6560
30800,6549
30900,8629
31000,11007
31100,10854
31200,10745
31300,10753
31400,10661
31500,6310
31600,6356
31700,6260
31800,6319
31900,6380
32000,6351
32100,6384
32200,6415
32300,6421
32400,6461
32500,6447
32600,6536
32700,6511
32800,6520
32900,6513
33000,6522
33100,6587
