Size,Time(microseconds)
500,116
600,132
700,158
800,222
900,210
1000,232
1100,261
1200,284
1300,312
1400,338
1500,364
1600,386
1700,414
1800,458
1900,467
2000,500
2100,524
2200,552
2300,578
2400,624
2500,627
2600,668
2700,685
2800,708
2900,747
3000,758
3100,802
3200,819
3300,846
3400,876
3500,904
3600,928
3700,954
3800,988
3900,1021
4000,1046
4100,1066
4200,1099
4300,1129
4400,1156
4500,1237
4600,1212
4700,1250
4800,1286
4900,1315
5000,1343
5100,1352
5200,1381
5300,1416
5400,1462
5500,1480
5600,1521
5700,1532
5800,1564
5900,1578
6000,1621
6100,1655
6200,1738
6300,1724
6400,1749
6500,1766
6600,1816
6700,1854
6800,1857
6900,1972
7000,1992
7100,1965
7200,1989
7300,2025
7400,2050
7500,2088
7600,2127
7700,2131
7800,2156
7900,2219
8000,2252
8100,2269
8200,2251
8300,2303
8400,2338
8500,2375
8600,2404
8700,2442
8800,2458
8900,2496
9000,2530
9100,2544
9200,2594
9300,2590
9400,2659
9500,2674
9600,2712
9700,2774
9800,2795
9900,2821
10000,2826
10100,2868
10200,2902
10300,2919
10400,2923
10500,3020
10600,2997
10700,3006
10800,3106
10900,3217
11000,3161
11100,3186
11200,3207
11300,3187
11400,3246
11500,3317
11600,3327
11700,3358
11800,3388
11900,3395
12000,3438
12100,3540
12200,3491
12300,3496
12400,3557
12500,3565
12600,3604
12700,3664
12800,3707
12900,3692
13000,3745
13100,3754
13200,3807
13300,3814
13400,3890
13500,3890
13600,3915
13700,3955
13800,3984
13900,3997
14000,4071
14100,4112
14200,4135
14300,4213
14400,5758
14500,5930
14600,4556
14700,4319
14800,4288
14900,4300
15000,4360
15100,4394
15200,4492
15300,4458
15400,4505
15500,4550
15600,4579
15700,4610
15800,4625
15900,4649
16000,4777
16100,4714
16200,4720
16300,4713
16400,4779
16500,4791
16600,4828
16700,4850
16800,4887
16900,4928
17000,4980
17100,5046
17200,5006
17300,5064
17400,5079
17500,5118
17600,5163
17700,5188
17800,5212
17900,5252
18000,5257
18100,5288
18200,5334
18300,5351
18400,5363
18500,5405
18600,5519
18700,5476
18800,5519
18900,5595
19000,5581
19100,5771
19200,5703
19300,5686
19400,5708
19500,5776
19600,5772
19700,5852
19800,5955
19900,5903
20000,5957
20100,5952
20200,5985
20300,6041
