Size,Time(microseconds)
500,137
600,167
700,198
800,226
900,255
1000,284
1100,318
1200,351
1300,381
1400,409
1500,443
1600,478
1700,512
1800,539
1900,573
2000,606
2100,643
2200,676
2300,707
2400,744
2500,774
2600,810
2700,841
2800,905
2900,957
3000,976
3100,1021
3200,1063
3300,1083
3400,1109
3500,1153
3600,1148
3700,1182
3800,1220
3900,1240
4000,1313
4100,1297
4200,1342
4300,1381
4400,1426
4500,1471
4600,1503
4700,1562
4800,1579
4900,1621
5000,1654
5100,1697
5200,1711
5300,1772
5400,1786
5500,1844
5600,1903
5700,1924
5800,1971
5900,2003
6000,2026
6100,2068
6200,2101
6300,2133
6400,2168
6500,2219
6600,2238
6700,2278
6800,2323
6900,2352
7000,2391
7100,2385
7200,2494
7300,2536
7400,2506
7500,2524
7600,2586
7700,2600
7800,2641
7900,2678
8000,2693
8100,2733
8200,2768
8300,2812
8400,2844
8500,3008
8600,2998
8700,3001
8800,3002
8900,3092
9000,3137
9100,3181
9200,3210
9300,3289
9400,3300
9500,3346
9600,3378
9700,3406
9800,3482
9900,3484
10000,3533
10100,3554
10200,3598
10300,3634
10400,3609
10500,3732
10600,3769
10700,3790
10800,3833
10900,3875
11000,3878
11100,3967
11200,3993
11300,4024
11400,4058
11500,4093
11600,4105
11700,4152
11800,4192
11900,4262
12000,4309
12100,4358
12200,4388
12300,4412
12400,4432
12500,4466
12600,4543
12700,4557
12800,4590
12900,4645
13000,4718
13100,4751
13200,4805
13300,4825
13400,4868
13500,4905
13600,4945
13700,4948
13800,5190
13900,5042
14000,5049
14100,5095
14200,5137
14300,5417
14400,5672
14500,5551
14600,5272
14700,5389
14800,5310
14900,5424
15000,5483
15100,5484
15200,5522
15300,5466
15400,5593
15500,5669
15600,5434
15700,5664
15800,5765
15900,5791
16000,5875
16100,5909
16200,5970
16300,5958
16400,5975
16500,6071
16600,6132
16700,6123
16800,6173
16900,6204
17000,6303
17100,6311
17200,6303
17300,6438
17400,6460
17500,6458
17600,6499
17700,6559
17800,6563
17900,6607
18000,6651
18100,6712
18200,6630
18300,6591
18400,6835
18500,6822
18600,6840
18700,6902
18800,7091
18900,7005
19000,7069
19100,7112
19200,7121
19300,7144
19400,7166
19500,7268
19600,7327
19700,7324
19800,7338
19900,7429
20000,7465
20100,7499
20200,7543
20300,7578
20400,7646
20500,7685
20600,7677
20700,7699
20800,7779
20900,7778
21000,7823
21100,7874
21200,7909
21300,7961
21400,7967
21500,8022
21600,8063
21700,8151
21800,8175
21900,8213
22000,8250
22100,8279
22200,8337
22300,8392
22400,8417
22500,8471
22600,8506
22700,8566
22800,8564
22900,8428
23000,8627
23100,8618
23200,8743
23300,8730
23400,8797
23500,8598
23600,8791
23700,8853
23800,8917
23900,9170
24000,9041
24100,9124
24200,9110
24300,9180
24400,9168
24500,9180
24600,9182
24700,9256
24800,9404
24900,9487
25000,9434
25100,9489
25200,9587
25300,9589
25400,9675
25500,9666
25600,9715
25700,9728
25800,9903
25900,9642
26000,10946
26100,13854
26200,14477
26300,14540
26400,14016
26500,10267
26600,14504
26700,12345
26800,14532
26900,13330
27000,12456
27100,16295
27200,16037
27300,16433
27400,13465
27500,11264
27600,15429
27700,10058
27800,10394
27900,14947
28000,10591
28100,10790
28200,10793
28300,10540
28400,10929
28500,10620
28600,10713
28700,10779
28800,11401
28900,10787
29000,10847
29100,10783
29200,11448
29300,11766
29400,11095
29500,11162
29600,11260
29700,15159
29800,11239
29900,11357
30000,11358
30100,11404
30200,11516
30300,11565
30400,11713
30500,11706
30600,11644
30700,11770
30800,11721
30900,11802
31000,11830
31100,11842
31200,11869
31300,11888
31400,12034
31500,12459
31600,12518
31700,14714
31800,17453
31900,17356
32000,18062
32100,18160
32200,17598
32300,17368
32400,17587
32500,16084
32600,17984
32700,15388
32800,13913
32900,16080
33000,15960
33100,12655
33200,12670
33300,12594
33400,14899
33500,15056
33600,13077
33700,12632
33800,12745
33900,12838
34000,17978
34100,17832
34200,12873
34300,13029
34400,13082
34500,13094
34600,13043
34700,13090
34800,13121
34900,13522
35000,15745
35100,13359
35200,13398
35300,13510
35400,13607
35500,13540
35600,13478
35700,13571
35800,13685
35900,13690
36000,13772
36100,13782
36200,13846
36300,13864
36400,14027
36500,14006
36600,14177
36700,14087
36800,14422
36900,14333
37000,14526
37100,14411
37200,14621
37300,14992
37400,14607
37500,14695
37600,14474
37700,14488
37800,14568
37900,14694
38000,14816
38100,14881
38200,14894
38300,14998
38400,14972
38500,15113
38600,15091
38700,15116
38800,15205
38900,15256
39000,15240
39100,15356
39200,15407
39300,15388
39400,15118
39500,15157
39600,15484
39700,15477
39800,15613
39900,15584
40000,15720
40100,15718
40200,15862
40300,15753
40400,15745
40500,16070
40600,16010
40700,15968
40800,15939
40900,15984
41000,16027
41100,16434
41200,16233
41300,16131
41400,16291
41500,16297
41600,16298
41700,16251
41800,16320
41900,16509
42000,16457
42100,16472
42200,16381
42300,16328
42400,16598
42500,16767
42600,16807
42700,16819
42800,16884
42900,16975
43000,16895
43100,17033
43200,16907
43300,17315
43400,17136
43500,17053
43600,17013
43700,17205
43800,17172
43900,17312
44000,17255
44100,17972
44200,17569
44300,17437
44400,17789
44500,17475
44600,17348
44700,17562
44800,17767
44900,17720
45000,17729
45100,17677
45200,18012
45300,18313
45400,17683
45500,18209
45600,17933
45700,18048
45800,18024
45900,18220
46000,18182
46100,18296
46200,18221
46300,18308
46400,18280
46500,18425
46600,18320
46700,18420
46800,18576
46900,18476
47000,18625
47100,18593
47200,18711
47300,18741
47400,18810
47500,18721
47600,20986
47700,18871
47800,18830
47900,18809
48000,18971
48100,19070
48200,18786
48300,18853
48400,19208
48500,19476
48600,19179
48700,18978
48800,18871
48900,19219
49000,19091
49100,19211
49200,19343
49300,19416
49400,19449
49500,19847
49600,19700
49700,19728
49800,19865
49900,19817
50000,20060
50100,20033
50200,20112
50300,20248
50400,20248
50500,20287
50600,20190
50700,20241
50800,20302
50900,20181
51000,20195
51100,20000
51200,20389
51300,20410
51400,20358
51500,20738
51600,20434
51700,20748
51800,20315
51900,20204
52000,20233
52100,20509
52200,20693
52300,20643
52400,20628
52500,20818
52600,20467
52700,20787
52800,20608
52900,20685
53000,20942
53100,21276
53200,21100
53300,21101
53400,20873
53500,21096
53600,21201
53700,21415
53800,21250
53900,21294
54000,21406
54100,21095
54200,21650
54300,21522
54400,21610
54500,21545
54600,21661
54700,21593
54800,21713
54900,21608
55000,21651
55100,21840
55200,21946
55300,21942
55400,21818
55500,22280
55600,21963
55700,22257
55800,22038
55900,22179
56000,22240
56100,22001
56200,21994
56300,22613
56400,22394
56500,22420
56600,22576
56700,22556
56800,22545
56900,22656
57000,22839
57100,22715
57200,22658
57300,22666
57400,23506
57500,22509
57600,22461
57700,22576
57800,22814
57900,22935
58000,23004
58100,23538
58200,22902
58300,22871
58400,23237
58500,23290
58600,23184
58700,23326
58800,23325
58900,23308
59000,23377
59100,23134
59200,23358
59300,23636
59400,23642
59500,23280
59600,23569
59700,23632
59800,23741
59900,23560
60000,23541
60100,23874
60200,23793
60300,24064
60400,24035
60500,24117
60600,24130
60700,24181
60800,24291
60900,24060
61000,24364
61100,24339
61200,24366
61300,24398
61400,24316
61500,24165
61600,24509
61700,24328
61800,24413
61900,24363
62000,24514
62100,24741
62200,24465
62300,24773
62400,24567
62500,24963
62600,24895
62700,24936
62800,24900
62900,25163
63000,25066
63100,24952
63200,24901
63300,25014
63400,25226
63500,25254
63600,25235
63700,25269
63800,25444
63900,25326
64000,25026
64100,25383
64200,25527
64300,25707
64400,25807
64500,25757
64600,25955
64700,25634
64800,25866
64900,25916
65000,25859
65100,25977
65200,26180
65300,26095
65400,26174
65500,26108
65600,25882
65700,27059
65800,27596
65900,26405
66000,26424
66100,26502
66200,26776
66300,26591
66400,26801
66500,26787
66600,26461
66700,26647
66800,26662
66900,27260
67000,26888
67100,26833
67200,26923
67300,26585
67400,26781
67500,26718
67600,26954
67700,26760
67800,26924
67900,26844
68000,26954
68100,27041
68200,27092
68300,27129
68400,27129
68500,27204
68600,27176
68700,27131
68800,27346
68900,27429
69000,27319
69100,27455
69200,27678
69300,27114
69400,27635
69500,27610
69600,27692
69700,27759
69800,27674
69900,27575
70000,27775
70100,27889
70200,27937
70300,27869
70400,28035
70500,28084
70600,28445
70700,28193
70800,28197
70900,28477
71000,28399
71100,28221
71200,28518
71300,28468
71400,28394
71500,28607
71600,28484
71700,28535
71800,28632
71900,28600
72000,28749
72100,28583
72200,28899
72300,28719
72400,28778
72500,28945
72600,29162
72700,29060
72800,29004
72900,29054
73000,30170
73100,29230
73200,29363
73300,29332
73400,29245
73500,29187
73600,29275
73700,29551
73800,29589
73900,29427
74000,29485
74100,29374
74200,29645
74300,29693
74400,29605
74500,29619
74600,29657
74700,29780
74800,29965
74900,29918
75000,29881
75100,30166
75200,30181
75300,30259
75400,30321
75500,30229
75600,30308
75700,30425
75800,30229
75900,30166
76000,30527
76100,30548
76200,30531
76300,30690
76400,30736
76500,30773
76600,30726
76700,30975
76800,30747
76900,30876
77000,30843
77100,30904
77200,31085
77300,31295
77400,31160
77500,31157
77600,31200
77700,31271
77800,31249
77900,31250
78000,31290
78100,32087
78200,31539
78300,31406
78400,31688
78500,32198
78600,32550
78700,31437
78800,31499
78900,31434
79000,31635
79100,31569
79200,32036
79300,31581
79400,31812
79500,31712
79600,31934
79700,31888
79800,32562
79900,31844
80000,32197
80100,31941
80200,45993
80300,35123
80400,39227
80500,33277
80600,42562
80700,42251
80800,35093
80900,38872
