Size,Time(microseconds)
500,131
600,163
700,194
800,222
900,255
1000,283
1100,309
1200,339
1300,373
1400,404
1500,433
1600,464
1700,496
1800,517
1900,554
2000,601
2100,624
2200,660
2300,677
2400,710
2500,741
2600,776
2700,807
2800,847
2900,875
3000,905
3100,933
3200,970
3300,1005
3400,1027
3500,1062
3600,1119
3700,1131
3800,1153
3900,1198
4000,1222
4100,1247
4200,1288
4300,1344
4400,1374
4500,1403
4600,1442
4700,1474
4800,1519
4900,1555
5000,1586
5100,1617
5200,1659
5300,1693
5400,1752
5500,1757
5600,1794
5700,1844
5800,1829
5900,1916
6000,1924
6100,1961
6200,1991
6300,2034
6400,2059
6500,2108
6600,2129
6700,2168
6800,2198
6900,2241
7000,2257
7100,2288
7200,2324
7300,2357
7400,2409
7500,2433
7600,2441
7700,2501
7800,2536
7900,2555
8000,2602
8100,2656
8200,2670
8300,2707
8400,2757
8500,2789
8600,2823
8700,2847
8800,2887
8900,2915
9000,2962
9100,2986
9200,3043
9300,3066
9400,3100
9500,3141
9600,3195
9700,3215
9800,3267
9900,3283
10000,3319
10100,3346
10200,3408
10300,3433
10400,3416
10500,3438
10600,3493
10700,3513
10800,3534
10900,3586
11000,3618
11100,3686
11200,3718
11300,3812
11400,3817
11500,3833
11600,3838
11700,3877
11800,3873
11900,3905
12000,3990
12100,4045
12200,4061
12300,4062
12400,4155
12500,4222
12600,4248
12700,4450
12800,4306
12900,4374
13000,4422
13100,4569
13200,4486
13300,4567
13400,4537
13500,4555
13600,4592
13700,4610
13800,4667
13900,4757
14000,4770
14100,4785
14200,4840
14300,4851
14400,4881
14500,4890
14600,4923
14700,4997
14800,5004
14900,5067
15000,5089
15100,5152
15200,5213
15300,5338
15400,5265
15500,5351
15600,5291
15700,5262
15800,5332
15900,5359
16000,5376
16100,5412
16200,5615
16300,5590
16400,5583
16500,5679
16600,5732
16700,5757
16800,5780
16900,5823
17000,5845
17100,5909
17200,5922
17300,5977
17400,6022
17500,6101
17600,6127
17700,6185
17800,6206
17900,6229
18000,6245
18100,6297
18200,6348
18300,6374
18400,6390
18500,6425
18600,6465
18700,6594
18800,6532
18900,6636
19000,6714
19100,6664
19200,6679
19300,6720
19400,6766
19500,6816
19600,6823
19700,6821
19800,6932
19900,6927
20000,6965
20100,7047
20200,7020
20300,6972
20400,7170
20500,7228
20600,7118
20700,7264
20800,7277
20900,7327
21000,7376
21100,7426
21200,7472
21300,7523
21400,7450
21500,7497
21600,7541
21700,7441
21800,7494
21900,7532
22000,7741
22100,7740
22200,7735
22300,7840
22400,7842
22500,7872
22600,7893
22700,7908
22800,7950
22900,8087
23000,7899
23100,8064
23200,8135
23300,8205
23400,8183
23500,8242
23600,8252
23700,8427
23800,8361
23900,8396
24000,8413
24100,8294
24200,8474
24300,8584
24400,8552
24500,8609
24600,8694
24700,8720
24800,8728
24900,8840
25000,8910
25100,8929
25200,8985
25300,9001
25400,8979
25500,9035
25600,9103
25700,9157
25800,9187
25900,9239
26000,9308
26100,9602
26200,9288
26300,9490
26400,9847
26500,9419
26600,9504
26700,9593
26800,9580
26900,9625
27000,9673
27100,9681
27200,9757
27300,9806
27400,9754
27500,9811
27600,9892
27700,9928
27800,9981
27900,10036
28000,11292
28100,10012
28200,10035
28300,10218
28400,10144
28500,10194
28600,10247
28700,10449
28800,10334
28900,10342
29000,10307
29100,10407
29200,10478
29300,10467
29400,10530
29500,10612
29600,10606
29700,10597
29800,10658
29900,11195
30000,10728
30100,10826
30200,10967
30300,10878
30400,10848
30500,10932
30600,10943
30700,10970
30800,11052
30900,11086
31000,11121
31100,11163
31200,11223
31300,11346
31400,11249
31500,11273
31600,11334
31700,11757
31800,11419
31900,11404
32000,11485
32100,11509
32200,11534
32300,11599
32400,11634
32500,11636
32600,11644
32700,11804
32800,11728
32900,11710
33000,11823
33100,11848
33200,11903
33300,12001
33400,12084
33500,11957
33600,12091
33700,12179
33800,12241
33900,12175
34000,12328
34100,12396
34200,12340
34300,12418
34400,12464
34500,12528
34600,12561
34700,12600
34800,12682
34900,12629
35000,12788
35100,12645
35200,12499
35300,12644
35400,12968
35500,12819
35600,12882
35700,12931
35800,13040
35900,13087
36000,13080
36100,13021
36200,13141
36300,13120
36400,14151
36500,13625
36600,13268
36700,13347
36800,13175
36900,13412
37000,13416
37100,13408
37200,13472
37300,13444
37400,13515
37500,13627
37600,13697
37700,13742
37800,13894
37900,13827
38000,13928
38100,13979
38200,13916
38300,13938
38400,13968
38500,14053
38600,14057
38700,14148
38800,14161
38900,14217
39000,14308
39100,14353
39200,14328
39300,14378
39400,14420
39500,14405
39600,14611
39700,14549
39800,14471
39900,14634
40000,14621
40100,14643
40200,14643
40300,14729
40400,14721
40500,14782
40600,14913
40700,14939
40800,14921
40900,14912
41000,15020
41100,15108
41200,15060
41300,15100
41400,15131
41500,15100
41600,14904
41700,15056
41800,15726
41900,15328
42000,15446
42100,15389
42200,15483
42300,15692
42400,16002
42500,15618
42600,15753
42700,15713
42800,15729
42900,16102
43000,15501
43100,15823
43200,15904
43300,16370
43400,15905
43500,15986
43600,16076
43700,16106
43800,16144
43900,16118
44000,16249
44100,16411
44200,16297
44300,16632
44400,16121
44500,16455
44600,16358
44700,16606
44800,16279
44900,16441
45000,16531
45100,16659
45200,16751
45300,16774
45400,16764
45500,16956
45600,16968
45700,16787
45800,16928
45900,17003
46000,16944
46100,17060
46200,17066
46300,16987
46400,17066
46500,17137
46600,17244
46700,17278
46800,17289
46900,17365
47000,17292
47100,17190
47200,17386
47300,17517
47400,17567
47500,17485
47600,17697
47700,17511
47800,17621
47900,17504
48000,17736
48100,17549
48200,17538
48300,17670
48400,17925
48500,17844
48600,17878
48700,17565
48800,17951
48900,17860
49000,18039
49100,17951
49200,17726
49300,18247
49400,18493
49500,20105
49600,18003
49700,18091
49800,18322
49900,18397
50000,18461
50100,18521
50200,18680
50300,18716
50400,18906
50500,18647
50600,18963
50700,18802
50800,18814
50900,18715
51000,18987
51100,18962
51200,18983
51300,18998
51400,18996
51500,18740
51600,18765
51700,19131
51800,19240
51900,19335
52000,19269
52100,19341
52200,19532
52300,19462
52400,19540
52500,19472
52600,19278
52700,19629
52800,19651
52900,19599
53000,19739
53100,19733
53200,19853
53300,20013
53400,20454
53500,19931
53600,20002
53700,19997
53800,19963
53900,20122
54000,19842
54100,20147
54200,20402
54300,22473
54400,19901
54500,20427
54600,20438
54700,20572
54800,20378
54900,20464
55000,20614
55100,20772
55200,20606
55300,21189
55400,20732
55500,20625
55600,20649
55700,20600
55800,20436
55900,20863
56000,20842
56100,20958
56200,20910
56300,20997
56400,21267
56500,20747
56600,21077
56700,21075
56800,21219
56900,21247
57000,21173
57100,21275
57200,21260
57300,21479
57400,21501
57500,21474
57600,21608
57700,21397
57800,21529
57900,21689
58000,21608
58100,21799
58200,21845
58300,21789
58400,21794
58500,21867
58600,21827
58700,21857
58800,21885
58900,21923
59000,22156
59100,22161
59200,22300
59300,22290
59400,22212
59500,22234
59600,23335
59700,21971
59800,22585
59900,22518
60000,22663
60100,22576
60200,22519
60300,22534
60400,22685
60500,22676
60600,22640
60700,22784
60800,22944
60900,22669
61000,22835
61100,22777
61200,22914
61300,22747
61400,22810
61500,22542
61600,23017
61700,23097
61800,22954
61900,23182
62000,23076
62100,23145
62200,23044
62300,23126
62400,23217
