Size,Time(microseconds)
500,397
600,320
700,310
800,347
900,493
1000,467
1100,491
1200,576
1300,589
1400,632
1500,696
1600,1077
1700,1005
1800,881
1900,1401
2000,1080
2100,1010
2200,1264
2300,1100
2400,1195
2500,1242
2600,1286
2700,2090
2800,1745
2900,1623
3000,1539
3100,1736
3200,1765
3300,2055
3400,2629
3500,2056
3600,2639
3700,2962
3800,3204
3900,3035
4000,2665
4100,2733
4200,2288
4300,2217
4400,3072
4500,2360
4600,2362
4700,2427
4800,3176
4900,2573
5000,2735
5100,2797
5200,2832
5300,2931
5400,2851
5500,3026
5600,3072
5700,3099
5800,3139
5900,3278
6000,3240
6100,3329
6200,3256
6300,3458
6400,3563
6500,3698
6600,3749
6700,3827
6800,3958
6900,3826
7000,4066
7100,4037
7200,4261
7300,4182
7400,4194
7500,4245
7600,4326
7700,4260
7800,4373
7900,4481
8000,4556
8100,4618
8200,4676
8300,4740
8400,4999
8500,4869
8600,4960
8700,5004
8800,5069
8900,5221
9000,5182
9100,5296
9200,5360
9300,5563
9400,5354
9500,5607
9600,5452
9700,5545
9800,5798
9900,5836
10000,5886
10100,5913
10200,6162
10300,6062
10400,6166
10500,6211
10600,6283
10700,6426
10800,6346
10900,6480
11000,6486
11100,6712
11200,6684
11300,6714
11400,6771
11500,6850
11600,6832
11700,7136
11800,7030
11900,7064
12000,7259
12100,7229
12200,7346
12300,7332
12400,7371
12500,7432
12600,7655
12700,7619
12800,7501
12900,7648
13000,7860
13100,7839
13200,7917
13300,7952
13400,7994
13500,8054
13600,8307
13700,8377
13800,8460
13900,8147
14000,8459
14100,8464
14200,8570
14300,8781
14400,8794
14500,8772
14600,8749
14700,8864
14800,9020
14900,8983
15000,9239
15100,9333
15200,9014
15300,9342
15400,9467
15500,9118
15600,9459
15700,9516
15800,9545
15900,9788
16000,9816
16100,9797
16200,9824
16300,10045
16400,10036
16500,10035
16600,10075
16700,10210
16800,9966
16900,10262
17000,10538
17100,10793
17200,10540
17300,10728
17400,10720
17500,10805
17600,11027
17700,11034
17800,11116
17900,11154
18000,11106
18100,11266
18200,11199
18300,11438
18400,11374
18500,11283
18600,11774
18700,11481
18800,11670
18900,11661
19000,11285
19100,11114
19200,10923
19300,10620
19400,10467
19500,10046
19600,10005
19700,9786
19800,9615
19900,9227
20000,9176
20100,9079
20200,9210
20300,9243
20400,9287
20500,9257
20600,9496
20700,9571
20800,9438
20900,9425
21000,9673
21100,9638
21200,9549
21300,9783
21400,9727
21500,9718
21600,9825
21700,9922
21800,9886
21900,10031
22000,10081
22100,10053
22200,10062
22300,10083
22400,10147
22500,10085
22600,10215
22700,10291
22800,10660
22900,10410
23000,10390
23100,10667
23200,10596
23300,10933
23400,10797
23500,10706
23600,10943
23700,10872
23800,10979
23900,10893
24000,10984
24100,11160
24200,11068
24300,11113
24400,11162
24500,11357
24600,11150
24700,11285
24800,11376
24900,11554
25000,11374
25100,11590
25200,11540
25300,11685
25400,11718
25500,11795
25600,11868
25700,11944
25800,12005
25900,11997
26000,12073
26100,12145
26200,12466
26300,12762
26400,12414
26500,12153
26600,12292
26700,12188
26800,12412
26900,12476
27000,12488
27100,12595
27200,12755
27300,12639
27400,12598
27500,12837
27600,13062
27700,12997
27800,14782
27900,12623
28000,12682
28100,13093
28200,12559
28300,13257
28400,13164
28500,13517
28600,13421
28700,13464
28800,13537
28900,13395
29000,13487
29100,13613
29200,13577
29300,13595
29400,13403
29500,13635
29600,13741
29700,13963
29800,13862
29900,13975
30000,14081
30100,14210
30200,14039
30300,14121
30400,14148
30500,14236
30600,14060
30700,14297
30800,14754
30900,14298
31000,14232
31100,14420
31200,14419
31300,14524
31400,14446
31500,14560
31600,14592
31700,14650
31800,14764
31900,14869
32000,14699
32100,15057
32200,14894
32300,14714
32400,14935
32500,15086
32600,15264
32700,15168
32800,15132
32900,15296
33000,15386
33100,15164
33200,15575
33300,15438
33400,15480
33500,15661
33600,15738
33700,15613
33800,15821
33900,15758
34000,15817
34100,16074
34200,16002
34300,15916
34400,16111
34500,15946
34600,16217
34700,16195
34800,15821
34900,16343
35000,16380
35100,16548
35200,16506
35300,16519
35400,16816
35500,16775
35600,16925
35700,16891
35800,16914
35900,16797
36000,17022
36100,16922
36200,17111
36300,17084
36400,17135
36500,17163
36600,17243
36700,17255
36800,17433
36900,17426
37000,17401
37100,17029
37200,17126
37300,17421
37400,17465
37500,17675
37600,17731
37700,17854
37800,17651
37900,17832
38000,17941
38100,18177
38200,18771
38300,18037
